Año,Código,Club,Ronda,Liga,Región,Década,SuperLiga,Ciudad,Población,PIB,País,Siglas,PIB_per_cap
2018,BMN,FC Bayern,2,Germany,Big 5,2010,0,München,2883373,241407,Germany,DE,83
2018,MAC,Manchester City FC,1,England,Big 5,2010,1,Manchester,3348274,136317,United Kingdom,UK,40
2018,JUV,Juventus FC,1,Italy,Big 5,2010,1,Torino,1760085,76575,Italy,IT,43
2018,SEV,Sevilla FC,1,Spain,Big 5,2010,0,Sevilla,1545862,45685,Spain,ES,29
2018,FCB,FC Barcelona,1,Spain,Big 5,2010,1,Barcelona,4985549,218318,Spain,ES,43
2019,LIV,Liverpool FC,4,England,Big 5,2010,1,Liverpool,1533860,50484,United Kingdom,UK,32
2019,TOT,Tottenham Hotspur FC,3,England,Big 5,2010,1,London,12434823,851738,United Kingdom,UK,68
2019,FCB,FC Barcelona,2,Spain,Big 5,2010,1,Barcelona,4985549,218318,Spain,ES,43
2019,AJA,AFC Ajax,2,Netherlands,Small,2010,0,Amsterdam,2769100,200944,Netherlands,NL,72
2019,MNU,Manchester Utd FC,1,England,Big 5,2010,1,Manchester,3348274,136317,United Kingdom,UK,40
2019,MAC,Manchester City FC,1,England,Big 5,2010,1,Manchester,3348274,136317,United Kingdom,UK,40
2019,POR,FC Porto,1,Portugal,Small,2010,0,Porto,1272189,38974,Portugal,PT,30
2019,JUV,Juventus FC,1,Italy,Big 5,2010,1,Torino,1760085,76575,Italy,IT,43
2020,BMN,FC Bayern,4,Germany,Big 5,2010,0,München,2883373,241407,Germany,DE,83
2020,PSG,Paris SG,3,France,Big 5,2010,0,Paris,12914803,913737,France,FR,70
2020,LYO,Olympique Lyon,2,France,Big 5,2010,0,Lyon,2100064,112896,France,FR,53
2020,LEI,RB Leipzig,2,Germany,East,2010,0,Leipzig,1037782,41485,Germany,DE,39
2020,ATA,Atalanta,1,Italy,Big 5,2010,0,Bergamo,313252,33795,Italy,IT,107
2020,FCB,FC Barcelona,1,Spain,Big 5,2010,1,Barcelona,4985549,218318,Spain,ES,43
2020,ATM,Atletico Madrid CF,1,Spain,Big 5,2010,1,Madrid,6791667,342534,Spain,ES,50
2020,MAC,Manchester City FC,1,England,Big 5,2010,1,Manchester,3348274,136317,United Kingdom,UK,40
2021,MAC,Manchester City FC,3,England,Big 5,2010,1,Manchester,3348274,136317,United Kingdom,UK,40
2021,CHE,Chelsea FC,4,England,Big 5,2010,1,London,12434823,851738,United Kingdom,UK,68
2021,RMA,Real Madrid CF,2,Spain,Big 5,2010,1,Madrid,6791667,342534,Spain,ES,50
2021,PSG,Paris SG,2,France,Big 5,2010,0,Paris,12914803,913737,France,FR,70
2021,LIV,Liverpool FC,1,England,Big 5,2010,1,Liverpool,1533860,50484,United Kingdom,UK,32
2021,BMN,FC Bayern,1,Germany,Big 5,2010,0,München,2883373,241407,Germany,DE,83
2021,POR,FC Porto,1,Portugal,Small,2010,0,Porto,1272189,38974,Portugal,PT,30
2021,DOR,Borussia Dortmund,1,Germany,Big 5,2010,0,Ruhrgebiet,5113487,206526,Germany,DE,40
